UVM_INFO | /u/aakashbh/ECE-593/Asyc_FIFO/team_05_Async_FIFO/M4_U/VERIF_UVM/uvm_AFIFO_Rd_seq.sv | 63 | 20 | uvm_test_top.env.Rd_agent.Rd_sqr@@rd_seq | READ_SEQUENCE | repeat_count=25, dsize=0, asize=0
UVM_INFO | /u/aakashbh/ECE-593/Asyc_FIFO/team_05_Async_FIFO/M4_U/VERIF_UVM/uvm_AFIFO_Rd_seq.sv | 71 | 40 | uvm_test_top.env.Rd_agent.Rd_sqr@@rd_seq | READ_SEQUENCE | Data_Read = xx
UVM_INFO | /u/aakashbh/ECE-593/Asyc_FIFO/team_05_Async_FIFO/M4_U/VERIF_UVM/uvm_AFIFO_Rd_seq.sv | 76 | 40 | uvm_test_top.env.Rd_agent.Rd_sqr@@rd_seq | READ_SEQUENCE | Data_Read = xx (dsize= 8 )
UVM_INFO | /u/aakashbh/ECE-593/Asyc_FIFO/team_05_Async_FIFO/M4_U/VERIF_UVM/uvm_AFIFO_Wr_driver.sv | 78 | 50 | uvm_test_top.env.Wr_agent.afifo_Wr_drv | WRITE_DRIVER | Write_EN = 1, Data_in = f3
UVM_INFO | /u/aakashbh/ECE-593/Asyc_FIFO/team_05_Async_FIFO/M4_U/VERIF_UVM/uvm_AFIFO_Wr_sequence.sv | 51 | 50 | uvm_test_top.env.Wr_agent.afifo_Wr_seqr@@wr_seq | WRITE_SEQUENCE | Data_Write = f3
UVM_INFO | /u/aakashbh/ECE-593/Asyc_FIFO/team_05_Async_FIFO/M4_U/VERIF_UVM/uvm_AFIFO_Wr_monitor.sv | 45 | 52 | uvm_test_top.env.Wr_agent.afifo_Wr_mon | Write_Monitor | MON is doing WRITE at data=f3
UVM_INFO | /u/aakashbh/ECE-593/Asyc_FIFO/team_05_Async_FIFO/M4_U/VERIF_UVM/uvm_AFIFO_Wr_driver.sv | 78 | 60 | uvm_test_top.env.Wr_agent.afifo_Wr_drv | WRITE_DRIVER | Write_EN = 1, Data_in = 48
UVM_INFO | /u/aakashbh/ECE-593/Asyc_FIFO/team_05_Async_FIFO/M4_U/VERIF_UVM/uvm_AFIFO_Rd_seq.sv | 71 | 60 | uvm_test_top.env.Rd_agent.Rd_sqr@@rd_seq | READ_SEQUENCE | Data_Read = xx
UVM_INFO | /u/aakashbh/ECE-593/Asyc_FIFO/team_05_Async_FIFO/M4_U/VERIF_UVM/uvm_AFIFO_Rd_seq.sv | 76 | 60 | uvm_test_top.env.Rd_agent.Rd_sqr@@rd_seq | READ_SEQUENCE | Data_Read = xx (dsize= 8 )
UVM_INFO | /u/aakashbh/ECE-593/Asyc_FIFO/team_05_Async_FIFO/M4_U/VERIF_UVM/uvm_AFIFO_Wr_sequence.sv | 51 | 60 | uvm_test_top.env.Wr_agent.afifo_Wr_seqr@@wr_seq | WRITE_SEQUENCE | Data_Write = 48
UVM_INFO | /u/aakashbh/ECE-593/Asyc_FIFO/team_05_Async_FIFO/M4_U/VERIF_UVM/uvm_AFIFO_Wr_monitor.sv | 45 | 62 | uvm_test_top.env.Wr_agent.afifo_Wr_mon | Write_Monitor | MON is doing WRITE at data=48
UVM_INFO | /u/aakashbh/ECE-593/Asyc_FIFO/team_05_Async_FIFO/M4_U/VERIF_UVM/uvm_AFIFO_Wr_driver.sv | 78 | 70 | uvm_test_top.env.Wr_agent.afifo_Wr_drv | WRITE_DRIVER | Write_EN = 1, Data_in = 91
UVM_INFO | /u/aakashbh/ECE-593/Asyc_FIFO/team_05_Async_FIFO/M4_U/VERIF_UVM/uvm_AFIFO_Wr_sequence.sv | 51 | 70 | uvm_test_top.env.Wr_agent.afifo_Wr_seqr@@wr_seq | WRITE_SEQUENCE | Data_Write = 91
UVM_INFO | /u/aakashbh/ECE-593/Asyc_FIFO/team_05_Async_FIFO/M4_U/VERIF_UVM/uvm_AFIFO_Wr_monitor.sv | 45 | 72 | uvm_test_top.env.Wr_agent.afifo_Wr_mon | Write_Monitor | MON is doing WRITE at data=91
UVM_INFO | /u/aakashbh/ECE-593/Asyc_FIFO/team_05_Async_FIFO/M4_U/VERIF_UVM/uvm_AFIFO_Wr_driver.sv | 78 | 80 | uvm_test_top.env.Wr_agent.afifo_Wr_drv | WRITE_DRIVER | Write_EN = 1, Data_in = f2
UVM_INFO | /u/aakashbh/ECE-593/Asyc_FIFO/team_05_Async_FIFO/M4_U/VERIF_UVM/uvm_AFIFO_Rd_seq.sv | 71 | 80 | uvm_test_top.env.Rd_agent.Rd_sqr@@rd_seq | READ_SEQUENCE | Data_Read = xx
UVM_INFO | /u/aakashbh/ECE-593/Asyc_FIFO/team_05_Async_FIFO/M4_U/VERIF_UVM/uvm_AFIFO_Rd_seq.sv | 76 | 80 | uvm_test_top.env.Rd_agent.Rd_sqr@@rd_seq | READ_SEQUENCE | Data_Read = xx (dsize= 8 )
UVM_INFO | /u/aakashbh/ECE-593/Asyc_FIFO/team_05_Async_FIFO/M4_U/VERIF_UVM/uvm_AFIFO_Wr_sequence.sv | 51 | 80 | uvm_test_top.env.Wr_agent.afifo_Wr_seqr@@wr_seq | WRITE_SEQUENCE | Data_Write = f2
UVM_INFO | /u/aakashbh/ECE-593/Asyc_FIFO/team_05_Async_FIFO/M4_U/VERIF_UVM/uvm_AFIFO_Wr_monitor.sv | 45 | 82 | uvm_test_top.env.Wr_agent.afifo_Wr_mon | Write_Monitor | MON is doing WRITE at data=f2
UVM_INFO | /u/aakashbh/ECE-593/Asyc_FIFO/team_05_Async_FIFO/M4_U/VERIF_UVM/uvm_AFIFO_Wr_driver.sv | 78 | 90 | uvm_test_top.env.Wr_agent.afifo_Wr_drv | WRITE_DRIVER | Write_EN = 1, Data_in = 11
UVM_INFO | /u/aakashbh/ECE-593/Asyc_FIFO/team_05_Async_FIFO/M4_U/VERIF_UVM/uvm_AFIFO_Wr_sequence.sv | 51 | 90 | uvm_test_top.env.Wr_agent.afifo_Wr_seqr@@wr_seq | WRITE_SEQUENCE | Data_Write = 11
UVM_INFO | /u/aakashbh/ECE-593/Asyc_FIFO/team_05_Async_FIFO/M4_U/VERIF_UVM/uvm_AFIFO_Wr_monitor.sv | 45 | 92 | uvm_test_top.env.Wr_agent.afifo_Wr_mon | Write_Monitor | MON is doing WRITE at data=11
UVM_INFO | /u/aakashbh/ECE-593/Asyc_FIFO/team_05_Async_FIFO/M4_U/VERIF_UVM/uvm_AFIFO_Wr_driver.sv | 78 | 100 | uvm_test_top.env.Wr_agent.afifo_Wr_drv | WRITE_DRIVER | Write_EN = 1, Data_in = dc
UVM_INFO | /u/aakashbh/ECE-593/Asyc_FIFO/team_05_Async_FIFO/M4_U/VERIF_UVM/uvm_AFIFO_Rd_seq.sv | 71 | 100 | uvm_test_top.env.Rd_agent.Rd_sqr@@rd_seq | READ_SEQUENCE | Data_Read = xx
UVM_INFO | /u/aakashbh/ECE-593/Asyc_FIFO/team_05_Async_FIFO/M4_U/VERIF_UVM/uvm_AFIFO_Rd_seq.sv | 76 | 100 | uvm_test_top.env.Rd_agent.Rd_sqr@@rd_seq | READ_SEQUENCE | Data_Read = xx (dsize= 8 )
UVM_INFO | /u/aakashbh/ECE-593/Asyc_FIFO/team_05_Async_FIFO/M4_U/VERIF_UVM/uvm_AFIFO_Wr_sequence.sv | 51 | 100 | uvm_test_top.env.Wr_agent.afifo_Wr_seqr@@wr_seq | WRITE_SEQUENCE | Data_Write = dc
UVM_INFO | /u/aakashbh/ECE-593/Asyc_FIFO/team_05_Async_FIFO/M4_U/VERIF_UVM/uvm_AFIFO_Wr_monitor.sv | 45 | 102 | uvm_test_top.env.Wr_agent.afifo_Wr_mon | Write_Monitor | MON is doing WRITE at data=dc
